id_plt,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1.0,1.0,11.0,NA,NA,111.0,111.0,1.0,-54.170461109815562,102.72296432199127,528.96853811791573,823.08618517673926
1.0,4.0,8.0,NA,NA,408.0,408.0,1.0,183.88321226052358,364.26296018023066,753.25383082329427,1091.4658576114005
1.0,5.0,8.0,1346.0,1946.0,508.0,508.0,1.0,276.23223142905647,445.85119511677021,827.02573272761322,1145.0612896420764
1.0,6.0,7.0,860.0,1460.0,607.0,607.0,1.0,389.59536076602689,554.61199162137893,937.55162692913518,1246.9578100445428
1.0,6.0,7.0,856.0,1456.0,607.0,607.0,1.0,389.59536076602689,554.61199162137893,937.55162692913518,1246.9578100445428
2.0,1.0,11.0,NA,NA,111.0,111.0,1.0,-49.947218351724025,106.9462070800828,533.19178087600733,827.30942793483086
2.0,4.0,9.0,NA,NA,409.0,409.0,1.0,193.98829048480277,358.68314273877053,692.4816749157178,1001.2845228919073
2.0,5.0,7.0,1385.0,1985.0,507.0,507.0,1.0,273.4695831435892,461.71758671063162,931.77486936934338,1284.739877206755
2.0,6.0,7.0,722.0,1322.0,607.0,607.0,1.0,393.81860352411843,558.83523437947053,941.77486968722678,1251.1810528026344
2.0,6.0,7.0,718.0,1318.0,607.0,607.0,1.0,393.81860352411843,558.83523437947053,941.77486968722678,1251.1810528026344
3.0,1.0,10.0,NA,NA,110.0,110.0,1.0,-73.877893792696369,94.803943824172663,504.39150670359209,820.66995223522144
3.0,4.0,7.0,NA,NA,407.0,407.0,1.0,161.04557838344974,361.59162091726262,863.68816904365212,1239.7119987945512
3.0,6.0,6.0,1259.0,1859.0,606.0,606.0,1.0,366.4575291562864,552.44098400786811,1103.7869277279326,1452.5059055746483
4.0,1.0,11.0,NA,NA,111.0,111.0,1.0,-64.677989450628957,92.215435981177862,518.46100977710239,812.57865683592593
4.0,4.0,8.0,NA,NA,408.0,408.0,1.0,173.37568391971018,353.75543183941727,742.74630248248093,1080.958329270587
4.0,5.0,7.0,NA,NA,507.0,507.0,1.0,258.73881204468427,446.98681561172668,917.04409827043844,1270.0091061078499
4.0,6.0,7.0,1089.0,1689.0,607.0,607.0,1.0,379.08783242521349,544.1044632805656,927.04409858832184,1236.4502817037294
4.0,6.0,7.0,1085.0,1685.0,607.0,607.0,1.0,379.08783242521349,544.1044632805656,927.04409858832184,1236.4502817037294
5.0,1.0,11.0,NA,NA,111.0,111.0,1.0,-65.000523256117859,91.892902175688974,518.1384759716135,812.25612303043704
5.0,4.0,9.0,NA,NA,409.0,409.0,1.0,178.93498558040892,343.6298378343767,677.42837001132398,986.23121798751345
5.0,5.0,8.0,NA,NA,508.0,508.0,1.0,265.40216928275419,435.02113297046793,816.19567058131099,1134.2312274957742
5.0,6.0,7.0,1105.0,1705.0,607.0,607.0,1.0,378.7652986197246,543.78192947507671,926.72156478283296,1236.1277478982406
5.0,6.0,7.0,1101.0,1701.0,607.0,607.0,1.0,378.7652986197246,543.78192947507671,926.72156478283296,1236.1277478982406
6.0,1.0,11.0,NA,NA,111.0,111.0,1.0,-57.937058007363746,98.956367424443087,525.20194122036764,819.31958827919118
6.0,4.0,8.0,NA,NA,408.0,408.0,1.0,180.11661536297538,360.49636328268247,749.48723392574618,1087.6992607138523
