index,nrel,tip,col,ssi,disp
109,0,-120,-120,-116,-116
109,0.11111,0,0,0,0
109,0.22222,120,120,116,116
109,0.33333,230,230,282,282
109,0.44444,348,348,442,442
109,0.55556,448,448,648,648
109,0.66667,586,586,1074,3000
109,0.77778,692,692,1228,3000
109,0.88889,798,798,1326,3000
109,1,902,902,1402,3000
110,0,-104,-104,-124,-124
110,0.1,0,0,0,0
110,0.2,104,104,124,124
110,0.3,186,186,240,240
110,0.4,280,280,374,374
110,0.5,398,398,510,510
110,0.6,492,492,780,780
110,0.7,600,600,1098,3000
110,0.8,702,702,1244,3000
110,0.9,802,802,1342,3000
110,1,904,904,1418,3000
111,0,-94,-94,-104,-104
111,0.090909,0,0,0,0
111,0.18182,94,94,104,104
111,0.27273,152,152,208,208
111,0.36364,250,250,320,320
111,0.45455,356,356,452,452
111,0.54545,450,450,612,612
111,0.63636,552,552,992,992
111,0.72727,656,656,1192,3000
111,0.81818,742,742,1304,3000
111,0.90909,832,832,1388,3000
111,1,928,928,1454,3000
307,0,-92,-92,-184,-184
307,0.14286,0,0,0,0
307,0.28571,92,92,184,184
307,0.42857,184,184,532,532
307,0.57143,276,276,872,3000
307,0.71429,368,368,1000,3000
307,0.85714,458,458,1088,3000
307,1,552,552,1158,3000
308,0,-84,-84,-110,-110
308,0.125,0,0,0,0
308,0.25,84,84,110,110
308,0.375,166,166,220,220
308,0.5,250,250,542,542
308,0.625,332,332,878,3000
308,0.75,416,416,1004,3000
308,0.875,498,498,1090,3000
308,1,582,582,1158,3000
406,0,-96,-96,-170,-170
406,0.16667,0,0,0,0
406,0.33333,96,96,170,170
406,0.5,192,192,580,3000
406,0.66667,288,288,832,3000
406,0.83333,384,384,964,3000
406,1,482,482,1056,3000
407,0,-84,-84,-94,-94
407,0.14286,0,0,0,0
407,0.28571,84,84,94,94
407,0.42857,166,166,190,190
407,0.57143,250,250,696,3000
407,0.71429,332,332,880,3000
407,0.85714,414,414,986,3000
407,1,498,498,1066,3000
506,0,-80,-80,-98,-98
506,0.16667,0,0,0,0
506,0.33333,80,80,98,98
506,0.5,160,160,628,3000
506,0.66667,238,238,802,3000
506,0.83333,318,318,906,3000
506,1,398,398,982,3000
507,0,-66,-66,-58,-58
507,0.14286,0,0,0,0
507,0.28571,66,66,58,58
507,0.42857,130,130,658,658
507,0.57143,194,194,800,3000
507,0.71429,260,260,884,3000
507,0.85714,324,324,948,3000
507,1,390,390,1000,3000
605,0,-84,-84,-196,-196
605,0.2,0,0,0,0
605,0.4,84,84,196,3000
605,0.6,170,170,590,3000
605,0.8,254,254,808,3000
605,1,340,340,944,3000
606,0,-62,-62,-88,-88
606,0.16667,0,0,0,0
606,0.33333,62,62,88,88
606,0.5,126,126,656,3000
606,0.66667,188,188,816,3000
606,0.83333,250,250,912,3000
606,1,314,314,986,3000
705,0,-56,-56,-166,-166
705,0.2,0,0,0,0
705,0.4,56,56,166,3000
705,0.6,112,112,616,3000
705,0.8,168,168,824,3000
705,1,224,224,950,3000
706,0,-78,-78,-252,-252
706,0.16667,0,0,0,0
706,0.33333,78,78,252,252
706,0.5,154,154,564,3000
706,0.66667,232,232,752,3000
706,0.83333,308,308,876,3000
706,1,386,386,970,3000
