id_axis,N_phytomer_potential,a_cohort,TT_hs_0,TT_flag_ligulation,n0,n1,n2
MS,11,0.0102,-0.771289027,1078,4.871559739,3.24283148,5.8
MS,10,0.009269806,-0.771289027,1078,4.428690672,2.948028618,5.272727273
T1,9,0.009978947,246.10126,1148,3.24283148,3.24283148,4.93
T1,7,0.007761404,246.10126,1148,3.24283148,3.24283148,4.93
T1,8,0.008870175,246.10126,1148,3.24283148,3.24283148,4.93
T2,8,0.01123678,446.0522404,1158,2.872494193,3.24283148,4.93
T2,7,0.009832182,446.0522404,1158,2.513432419,3.24283148,4.93
T3,7,0.008397464,334.4149855,1168,3.16811521,3.24283148,4.93
T3,6,0.007197826,334.4149855,1168,2.715527323,3.24283148,4.93
T4,6,0.007511546,246.10126,1178,3.24283148,3.24283148,4.93
T4,7,0.007511546,246.10126,1178,3.24283148,3.24283148,4.93
